Title,Publication Date,Journal,DOI,Publisher
Overview of climate variability and climate science,2010.0,Climate Change and Climate Modeling,10.1017/cbo9780511780363.002,Cambridge University Press
Climate Science Basics,2022.0,Climate Change,10.1093/wentk/9780197647127.003.0001,Oxford University Press
Climate Science Basics,2018.0,Climate Change,10.1093/wentk/9780190866112.003.0001,Oxford University Press
Projected Climate Impacts,2018.0,Climate Change,10.1093/wentk/9780190866112.003.0003,Oxford University Press
Projected Climate Impacts,2022.0,Climate Change,10.1093/wentk/9780197647127.003.0003,Oxford University Press
Climate Change Scenarios and African Climate Change,2018.0,Oxford Research Encyclopedia of Climate Science,10.1093/acrefore/9780190228620.013.545,Oxford University Press
Climate Ethics,2014.0,Climate Ethics,10.5040/9780755619948.part-002,I.B.Tauris
Climate models,2010.0,Climate Change and Climate Modeling,10.1017/cbo9780511780363.006,Cambridge University Press
"Climate, climate change and climate system",2018.0,Biorefinery,10.1515/energyo.0119.00002,De Gruyter
"Climate Variability, Climate Change and Earth System Sensitivity",2019.0,Biogeochemical Cycles and Climate,10.1093/oso/9780198779308.003.0002,Oxford University Press
Climate Change and You,2018.0,Climate Change,10.1093/wentk/9780190866112.003.0007,Oxford University Press
Climate Politics and Policies,2018.0,Climate Change,10.1093/wentk/9780190866112.003.0005,Oxford University Press
"3. Climate, climate change and climate system",2014.0,Chemistry of the Climate System,10.1515/9783110331943.347,DE GRUYTER
Climate Change and You,2022.0,Climate Change,10.1093/wentk/9780197647127.003.0007,Oxford University Press
Climate Politics and Policies,2022.0,Climate Change,10.1093/wentk/9780197647127.003.0005,Oxford University Press
Local climate services. Can municipal climate profiles help improve climate literacy?,2024.0,Climate Services,10.1016/j.cliser.2024.100449,Elsevier BV
Acknowledgment to Reviewers of Climate in 2020,2021.0,Climate,10.3390/cli9020024,MDPI AG
Acknowledgement to Reviewers of Climate in 2019,2020.0,Climate,10.3390/cli8010014,MDPI AG
Acknowledgement to Reviewers of Climate in 2018,2019.0,Climate,10.3390/cli7010010,MDPI AG
Acknowledgement to Reviewers of Climate in 2016,2017.0,Climate,10.3390/cli5010003,MDPI AG
Climate Change and Agriculture,2023.0,Climate Change,10.1093/hesc/9780198807506.003.0005,Oxford University Press
Acknowledgement to Reviewers of Climate in 2015,2016.0,Climate,10.3390/cli4010006,MDPI AG
Local climate services. Can municipal climate profiles help improve climate literacy?,2024.0,Climate Services,10.1016/j.cliser.2024.100449,Elsevier BV
Acknowledgement to Reviewers of Climate in 2017,2018.0,Climate,10.3390/cli6010004,MDPI AG
Climate,,N/A,10.3390/climate,MDPI AG
Climate and climate variability,2010.0,Marine Climate and Climate Change,10.1007/978-3-540-68491-6_1,Springer Berlin Heidelberg
THE CLIMATE SYSTEM,2013.0,Climate and Ecosystems,10.2307/j.ctvc77k5m.5,Princeton University Press
Basics of global climate,2010.0,Climate Change and Climate Modeling,10.1017/cbo9780511780363.003,Cambridge University Press
Acknowledgement to Reviewers of Climate in 2014,2015.0,Climate,10.3390/cli3010133,MDPI AG
The UK Climate,2024.0,Climate Change and Nature,10.1093/hesc/9780192895134.003.0001,Oxford University Press
Acknowledgement to Reviewers of Climate in 2013,2014.0,Climate,10.3390/cli2010017,MDPI AG
Acknowledgment to the Reviewers of Climate in 2022,2023.0,Climate,10.3390/cli11010023,MDPI AG
Extreme Weather and Climate Change,2018.0,Climate Change,10.1093/wentk/9780190866112.003.0002,Oxford University Press
Climate change victims,2018.0,Climate Change Criminology,10.1332/policypress/9781529203950.003.0005,Policy Press
Extreme Weather and Climate Change,2022.0,Climate Change,10.1093/wentk/9780197647127.003.0002,Oxford University Press
When climate emergencies become our climate realities,,Climate Change and Law Collection,10.1163/9789004322714_cclc_2020-0108-0533,Brill
Climate Oscillations and Climate Change,2021.0,Marine Biology,10.1093/hesc/9780197543504.003.0004,Oxford University Press
"3 Climate, climate change and the climate system",2010.0,Chemistry of the Climate System,10.1515/9783110228359.321,DE GRUYTER
Environmental Hazards and Climate Change,2023.0,Climate Change,10.1093/hesc/9780198807506.003.0007,Oxford University Press
Climate Justice,,Climate Terror,10.1057/9781137318954.0010,Palgrave Macmillan
Five Natural Climate Solutions to Mitigate Climate Change,,Climate Change and Law Collection,10.1163/9789004322714_cclc_2021-0158-494,Brill
Environmental Hazards and Climate Change,2023.0,Climate Change,10.1093/hesc/9780198807506.003.0007,Oxford University Press
Climate as Risk and Hazard,2009.0,Climate and Society,10.1142/9789814280549_0004,WORLD SCIENTIFIC
Climate change and criminology,2018.0,Climate Change Criminology,10.1332/policypress/9781529203950.003.0001,Policy Press
Aerosols and Climate,2019.0,Biogeochemical Cycles and Climate,10.1093/oso/9780198779308.003.0005,Oxford University Press
Climate Change Adaptation,2017.0,Oxford Research Encyclopedia of Climate Science,10.1093/acrefore/9780190228620.013.635,Oxford University Press
22 Towards Climate Mobility Justice: From Climate Debt to Climate Reparations and a Welcoming Culture for Climate Migrants,2024.0,De Gruyter Handbook of Climate Migration and Climate Mobility Justice,10.1515/9783110752144-023,De Gruyter
Climate policy,2009.0,The Climate Crisis,10.1017/cbo9780511817144.012,Cambridge University Press
Zeppelin Manifesto on Climate Protection,2009.0,Climate and Society,10.1142/9789814280549_0005,WORLD SCIENTIFIC
Climate Engineering,2020.0,Oxford Research Encyclopedia of Climate Science,10.1093/acrefore/9780190228620.013.815,Oxford University Press
Downscaling Climate Information,2016.0,Oxford Research Encyclopedia of Climate Science,10.1093/acrefore/9780190228620.013.27,Oxford University Press
Climate Justice,,Climate Terror,10.1057/9781137318954.0010,Palgrave Macmillan
Climate and climate change,,SpringerReference,10.1007/springerreference_30297,Springer-Verlag
Climate and Simulation,2018.0,Oxford Research Encyclopedia of Climate Science,10.1093/acrefore/9780190228620.013.52,Oxford University Press
Climate of the Nation: Climate Change Concern Hits 82%,,Climate Change and Law Collection,10.1163/9789004322714_cclc_2020-0002-0033,Brill
The greenhouse effect and climate feedbacks,2010.0,Climate Change and Climate Modeling,10.1017/cbo9780511780363.007,Cambridge University Press
Climate Change and Energy. Trump’s climate and energy policies,,Climate Change and Law Collection,10.1163/9789004322714_cclc_2017-0141-001,Brill
Climate Justice and the Role of State Climate Litigation,,Climate Change and Law Collection,10.1163/9789004322714_cclc_2020-0104-0521,Brill
Synergise climate crisis initiatives and empower climate vulnerable community,,Climate Change and Law Collection,10.1163/9789004322714_cclc_2020-0120-0582,Brill
Climate Multilateralism Within the United Nations Framework Convention on Climate Change,2020.0,Oxford Research Encyclopedia of Climate Science,10.1093/acrefore/9780190228620.013.639,Oxford University Press
